verdict	reason	authoritative	engineSource	resolvedName	resolvedTarget	path
kept	-	auth-kept	program-files	Microsoft Windows Performance Recorder	C:\Program Files (x86)\Windows Kits\10\Windows Performance Toolkit\wpr.exe	C:\Program Files (x86)\Windows Kits\10\Windows Performance Toolkit\wpr.exe
kept	-	auth-kept	program-files	who	D:\Program Files\Git\usr\bin\who.exe	D:\Program Files\Git\usr\bin\who.exe
kept	-	auth-kept	start-menu	必剪	D:\Users\17822\AppData\Local\BcutBilibili\BCUT.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\必剪.lnk
kept	-	auth-kept	program-files	7-Zip Standalone Console	C:\Program Files\7-Zip-Zstandard\7za.exe	C:\Program Files\7-Zip-Zstandard\7za.exe
kept	-	auth-kept	start-menu	IJ Scan Utility	C:\Program Files (x86)\Canon\IJ Scan Utility\SCANUTILITY.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Canon Utilities\IJ Scan Utility\IJ Scan Utility.lnk
kept	-	auth-kept	program-files	ROG Live Service	C:\Program Files (x86)\ASUS\ASUS\ROG Live Service\ROGLiveService.exe	C:\Program Files (x86)\ASUS\ASUS\ROG Live Service\ROGLiveService.exe
kept	-	auth-kept	program-files	vimdiff	D:\Program Files\Git\usr\bin\vimdiff.exe	D:\Program Files\Git\usr\bin\vimdiff.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-17\bin\klist.exe	C:\Program Files\Java\jdk-17\bin\klist.exe
kept	-	auth-kept	program-files	Microsoft Visual Studio Version Selector	C:\Program Files (x86)\Common Files\Microsoft Shared\MSEnv\VSLauncher.exe	C:\Program Files (x86)\Common Files\Microsoft Shared\MSEnv\VSLauncher.exe
kept	-	auth-kept	program-files	Microsoft Office Click-to-Run IntegratedOfficeExe	C:\Program Files\Microsoft Office 15\ClientX64\IntegratedOffice.exe	C:\Program Files\Microsoft Office 15\ClientX64\IntegratedOffice.exe
filtered	4-not-executable-target	auth-filtered	start-menu	Control Panel	C:\Users\17822\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Control Panel.lnk	C:\Users\17822\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Control Panel.lnk
kept	-	auth-kept	start-menu	360压缩	C:\Program Files (x86)\360\360zip\360zip.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\360压缩\360压缩.lnk
kept	-	auth-kept	program-files	Copilot	C:\Program Files (x86)\Microsoft\EdgeCore\153.0.4234.32\copilotapp.exe	C:\Program Files (x86)\Microsoft\EdgeCore\153.0.4234.32\copilotapp.exe
kept	-	auth-kept	program-files	merge_unicharsets	C:\Program Files\Tesseract-OCR\merge_unicharsets.exe	C:\Program Files\Tesseract-OCR\merge_unicharsets.exe
kept	-	auth-kept	program-files	nproc	D:\Program Files\Git\usr\bin\nproc.exe	D:\Program Files\Git\usr\bin\nproc.exe
filtered	2-excluded-name	auth-filtered	program-files	HttpSetup	C:\Program Files (x86)\InstallShield Installation Information\{ab5f014e-883d-470d-bc2d-127ef91e5611}\Setup.exe	C:\Program Files (x86)\InstallShield Installation Information\{ab5f014e-883d-470d-bc2d-127ef91e5611}\Setup.exe
filtered	5-system-tool	auth-filtered	start-menu	Visit Developer Homepage	C:\Windows\Installer\{F522C947-52FA-4C01-B933-16292944E000}\_283FB4336779149422F9E3.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Lakhya's Innovation Inc\GUI Turbo Assembler\Visit Developer Homepage.lnk
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\jaccessinspector.exe	C:\Program Files\Java\jdk-24\bin\jaccessinspector.exe
filtered	2-excluded-name	auth-filtered	program-files	VirtualBox Installer	C:\Program Files\ldplayer9box\VBoxStub.exe	C:\Program Files\ldplayer9box\VBoxStub.exe
kept	-	auth-kept	program-files	gzip	D:\Program Files\Git\usr\bin\gzip.exe	D:\Program Files\Git\usr\bin\gzip.exe
kept	-	auth-kept	program-files	VBoxBugReport	C:\Program Files\ldplayer9box\VBoxBugReport.exe	C:\Program Files\ldplayer9box\VBoxBugReport.exe
kept	-	auth-kept	program-files	gkill	D:\Program Files\Git\usr\bin\gkill.exe	D:\Program Files\Git\usr\bin\gkill.exe
filtered	2-excluded-name	auth-filtered	program-files	expediteupdater	C:\Program Files\Microsoft Update Health Tools\expediteupdater.exe	C:\Program Files\Microsoft Update Health Tools\expediteupdater.exe
kept	-	auth-kept	program-files	VirtualBox Virtual Machine	C:\Program Files\ldplayer9box\VirtualBoxVM.exe	C:\Program Files\ldplayer9box\VirtualBoxVM.exe
kept	-	auth-kept	program-files	DiagReport	C:\Program Files\Npcap\DiagReport.bat	C:\Program Files\Npcap\DiagReport.bat
filtered	2-excluded-name	auth-filtered	start-menu	SQL Server 2022 安装中心(64 位)	C:\Program Files\Microsoft SQL Server\160\Setup Bootstrap\SQL2022\x64\LandingPage.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft SQL Server 2022\配置工具\SQL Server 2022 安装中心(64 位).lnk
filtered	2-excluded-name	auth-filtered	program-files	LayerManager Support	C:\Program Files\ASUS\AURA lighting effect add-on x64\LM_Support.exe	C:\Program Files\ASUS\AURA lighting effect add-on x64\LM_Support.exe
filtered	2-excluded-name	auth-filtered	program-files	VirtualBox ExtPack Helper	C:\Program Files\ldplayer9box\VBoxExtPackHelperApp.exe	C:\Program Files\ldplayer9box\VBoxExtPackHelperApp.exe
kept	-	auth-kept	program-files	VMware Workstation VMX	C:\Program Files (x86)\VMware\VMware Workstation\x64\vmware-vmx.exe	C:\Program Files (x86)\VMware\VMware Workstation\x64\vmware-vmx.exe
kept	-	auth-kept	program-files	Microsoft Edge	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\msedge_proxy.exe	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\msedge_proxy.exe
